Forderung,
nach,
sozialer,MISC
Gleichheit,
ist,
für,
ihn,
mit,
der,
nach,
Abschaffung,
des,
Privateigentums,
verknüpft,
.,
Dem,
unmenschlichen,
Absolutismus,
stellt,
er,
eine,
Art,
idealkommunistisches,
Gemeinwesen,
gegenüber,
.,
Meslier,PER
ist,
eigentlich,
Materialist,
—,
die,
materialistisch,
orientierte,
Aufklärung,
sei,
die,
Voraussetzung,
für,
jede,
soziale,
Revolution,
:,
die,
Seele,
sei,
deshalb,
sterblich,
",",
weil,
all,
unser,
Denken,
aus,
den,
“,MISC
modifications,MISC
de,MISC
notre,MISC
chair,MISC
et,MISC
de,MISC
notre,MISC
cerveau,MISC
”,
herrühre,
.,
Doch,
die,
Auszüge,
",",
die,
Voltaire,PER
1762,
aus,
diesem,
Testament,
edieren,
wird,
",",
unterschlagen,
diese,
Radikalität,
und,
lassen,
seinen,
Verfasser,
als,
Deisten,
und,
von,
jeder,
Klassenkampfidee,
frei,
erscheinen,
.,
"
",
Als,
eine,
besondere,
Form,
(,
relativ,
gemäßigter,
),
aufklärerischer,
Opposition,
hat,
die,
aus,
England,LOC
“,
importierte,
”,
Freimaurerei,ORG
zu,
gelten,
",",
die,
in,
der,
späteren,
antirevolutionären,
Legende,
für,
den,
Ausbruch,
der,
Französischen,MISC
Revolution,MISC
mitverantwortlich,
gemacht,
wurde,
.,
Die,
Franc-maçonnerie,
strebt,
auf,
der,
Grundlage,
einer,
natürlichen,
Ethik,
und,
der,
Prämissen,
Toleranz,
",",
Wahrheit,
",",
Selbstkritik,
und,
Menschenliebe,
nach,
einem,
neuen,
",",
edlen,
Menschentum,
.,
Ob,
allerdings,
die,
Freimaurer,ORG
in,
Frankreich,LOC
die,
Aufklärungsbewegung,
in,
größerem,
Maß,
beeinflußt,
und,
vorangetrieben,
haben,
oder,
ob,
sie,
nicht,
vielmehr,
-,
vor,
allem,
in,
den,
letzten,
Jahrzehnten,
vor,
der,
Großen,MISC
Revolution,MISC
-,
selbst,
von,
dieser,
Bewegung,
“,MISC
aufgeklärt,
”,
wurden,
",",
ist,
eine,
Streitfrage,
der,
Forschung,
.,
Voltaire,PER
beispielsweise,
hat,
sich,
erst,
1778,
in,
eine,
Loge,
aufnehmen,
lassen,
.,
"
",
Was,
-,
bei,
aller,
Diversität,
im,
einzelnen,
-,
die,
Einheitlichkeit,
der,
nicht,
zuletzt,
auf,
Grund,
der,
französischen,MISC
Kulturhegemonie,
auf,
alle,
Teile,
Europas,LOC
ausstrahlenden,
Aufklärungsbewegung,
ausmacht,
",",
ist,
die,
auf,
einer,
Selbstbefreiung,
von,
Normierungen,
basierende,
Infragestellung,
und,
schließlich,
Dekuvrierung,
und,
Entmachtung,
der,
überkommenen,
Dogmen,
insbesondere,
im,
religiösen,
(,
philosophischen,
),
und,
politisch-sozialen,
",",
aber,
auch,
im,
ökonomischen,
Bereich,
",",
durch,
die,
kritische,
Vernunft,
.,
Der,
Staat,
-,
aber,
natürlich,
auch,
Gott,
",",
auf,
den,
sich,
dessen,
Ordnung,
und,
Institutionen,
berufen,
-,
sind,
keineswegs,
mehr,
sakrosankt,
",",
wobei,
zu,
beachten,
ist,
",",
daß,
die,
Kritik,
am,
absolutistischen,
Staat,
eher,
von,
der,
Aristokratie,
",",
diejenige,
an,
seinen,
vom,
Absolutismus,
bekämpften,
feudalistischen,
Grundstrukturen,
eher,
vom,
Bürgertum,
ausgeht,
.,
Jedes,
geschlossene,
System,
gilt,
von,
vornherein,
als,
suspekt,
.,
SNicht,MISC
nur,
der,
Kampf,
Voltaires,PER
",",
der,
nur,
wenige,
Vorurteile,
zur,
Aufrechterhaltung,
der,
sozialen,MISC
und,
moralischen,
Ordnung,
akzeptiert,
",",
gilt,
jenen,
die,
Würde,
des,
Individuums,
tangierenden,
Vor-Urteilen,
und,
Vor-Verurteilungen,
",",
von,
denen,
das,
“,
siècle,
philosophique,
”,
sich,
mit,
Hilfe,
der,
Ratio,
befreien,
will,
.,
Die,
schon,
im,
Zusammenhang,
der,
“,
Querelle,
des,
Anciens,
et,
des,
Modernes,
”,
aufkeimende,
Idee,
des,
Fortschritts,PER
weitet,
sich,
auf,
nahezu,
alle,
Gebiete,
aus,
.,
"
",
Der,
Blick,
der,
Aufklärung,
geht,
",",
weit,
mehr,
als,
derjenige,
der,
“,MISC
Klassik,
”,
",",
über,
die,
Grenzen,
des,
“,MISC
Eigenen,
”,
wesentlich,
hinaus,
.,
Eine,
wichtige,
Konsequenz,
davon,
ist,
die,
Idee,
der,
Relativität,
.,
Diese,
dominiert,
sehr,
rasch,
nicht,
nur,
die,
Rechts-,
und,
Geisteswissenschaft,
",",
sondern,
etwa,
auch,
die,
Sittengeschichte,
.,
Regierungsformen,
",",
Religionen,
und,
ihre,
“,
Gesetze,
”,
",",
die,
materialistisch,
und,
funktionalistisch,
als,
“,
rapports,
nécessaires,
qui,
dérivent,
de,
la,
nature,
des,
choses,
”,
definiert,
werden,
",",
lassen,
sich,
auf,
klimatische,
",",
ethnologische,
und,
kulturgeschichtliche,
Faktoren,
zurückfuhren,
.,
Relativität,
impliziert,
insofern,
auch,
Toleranz,
anderen,
Ländern,
und,
Kulturen,
gegenüber,
:,
Gesetze,
sind,
Resultate,
von,
Geschichte,
",",
sie,
dürfen,
deshalb,
nicht,
von,
außen,
aufoktroyiert,
werden,
und,
werden,
deshalb,
auch,
als,
mit,
der,
Geschichte,
veränderbar,
gedacht,
.,
Eine,
ähnliche,
Ausweitung,
erfährt,
die,
historiographische,
Perspektive,
etwa,
auch,
bei,
Voltaire,LOC
",",
der,
mit,
dem,
Essai,
sur,MISC
les,MISC
mœurs,MISC
(,
1756,
),
eine,
universale,
",",
aber,
nicht,
heilsgeschichtlich,
",",
d.h.,
christlich-teleologisch,MISC
ausgerichtete,
Kultur-,
und,
Zivilisationsgeschichte,
vorlegt,
:,
Jede,
geschichtliche,
Epoche,
",",
auch,
diejenige,
des,
Absolutismus,
",",
wird,
als,
Folge,
der,
vorausgehenden,
beschrieben,
und,
damit,
als,
Produkt,
der,
Geschichte,
relativiert,
",",
das,
keinerlei,
Anspruch,
auf,
Perpetuierung,
hat,
.,
Allerdings,
:,
Da,
für,
Voltaire,PER
in,
der,
Geschichte,
der,
Menschheit,
so,
etwas,
wie,
ein,
Selbstbefreiungsprozeß,
der,
Vernunft,
ausgemacht,
werden,
kann,
",",
ist,
auch,
sein,
geschichtsphilosophisches,
Denken,
nicht,
ganz,
frei,
von,
einem,
Telos,
.,
"
",
Auch,
in,
den,
Bereichen,
von,
Politik,
und,
Religion,
fördert,
das,
Relativitätsdenken,
die,
Toleranzidee,
.,
Selbst,
wenn,
er,
in,
der,
zweiten,
Jahrhunderthälfte,
in,
die,
Krise,
gerät,
",",
"
",
bestimmt,
der,
Kosmopolitismus,
",",
der,
kosmopolitische,
Humanismus,
",",
das,
geistige,
Leben,
.,
Er,
impliziert,
Achtung,
der,
Alteritäten,
",",
Öffiiung,
nach,
außen,
",",
Interesse,
für,
die,
Differenz,
",",
Neugier,
auf,
Grenzüberschreitungen,
—,
und,
nicht,
nur,
puren,
Exotismus,
.,
Je,
aufgeklärter,
die,
Völker,
sind,
",",
desto,
mehr,
öffnen,
sie,
sich,
einander,
",",
schreibt,
Helvétius,PER
in,
De,MISC
l,MISC
’,MISC
Esprit,MISC
(,
